epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5968,1.87656,4.6766,1.34632,0.00319,0.95652,0.22974,0.12637,1.72384,4.93819,1.14038,0.0001,0.0001,0.0001
2,59.5252,1.69984,3.32151,1.13111,0.00333,1,0.27184,0.05819,1.47461,4.27328,1.05248,0.000215644,0.000215644,0.000215644
3,85.5143,1.45183,2.83209,1.08919,0.00333,1,0.05089,0.03019,1.40759,4.49558,1.10033,0.000326536,0.000326536,0.000326536
4,109.358,1.40243,2.63359,1.09349,0.00333,1,0.00658,0.00338,1.36191,4.3074,1.05037,0.000432676,0.000432676,0.000432676
5,133.65,1.38527,2.2089,1.06876,0.00333,1,0.00765,0.00426,1.36879,4.29594,1.06158,0.000534064,0.000534064,0.000534064
6,161.938,1.34999,2.15083,1.03956,0.00333,1,0.00591,0.00313,1.46532,4.46306,1.09208,0.0006307,0.0006307,0.0006307
7,188.086,1.27597,2.0468,1.01983,0.00333,1,0.03302,0.0226,1.45606,4.17111,1.09528,0.000722584,0.000722584,0.000722584
8,214.062,1.26071,1.94786,1.04202,0.00333,1,0.00609,0.00327,1.32654,4.29023,1.06438,0.000809716,0.000809716,0.000809716
9,238.743,1.20795,1.59694,0.99878,0.00971,0.65217,0.23566,0.13869,1.39852,4.11108,1.07846,0.000892096,0.000892096,0.000892096
10,263.332,1.22524,1.79675,1.02954,0.07199,0.47826,0.17192,0.11512,1.30739,4.16972,1.1132,0.000969724,0.000969724,0.000969724
11,287.395,1.2413,1.69428,1.0244,1,0.38605,0.71329,0.38608,1.42662,3.84711,1.10399,0.0010426,0.0010426,0.0010426
12,311.338,1.20275,1.61559,1.01032,0.69804,0.34783,0.54474,0.32328,1.43041,3.6,1.09591,0.00111072,0.00111072,0.00111072
13,336.044,1.20488,1.55969,1.00902,1,0.55923,0.93305,0.59633,1.32883,3.09885,1.08214,0.0011741,0.0011741,0.0011741
14,363.446,1.1998,1.58407,1.0442,1,0.51574,0.96645,0.55941,1.47551,3.05579,1.12024,0.00123272,0.00123272,0.00123272
15,387.874,1.14689,1.56958,0.99235,1,0.46658,0.94613,0.56418,1.41545,2.98769,1.10973,0.00128658,0.00128658,0.00128658
16,413.831,1.22762,1.535,1.04527,0.8604,0.8044,0.9241,0.54096,1.42114,2.50708,1.1173,0.0013357,0.0013357,0.0013357
17,439.777,1.17744,1.46014,1.04393,0.82455,0.73913,0.86224,0.4868,1.45505,2.62989,1.09834,0.0013664,0.0013664,0.0013664
18,464.808,1.1944,1.38536,1.06601,0.9541,0.90415,0.97658,0.5826,1.39569,2.31526,1.10822,0.0013268,0.0013268,0.0013268
19,491.18,1.16597,1.47185,1.0554,0.96078,0.86957,0.98789,0.52699,1.4334,2.20002,1.19509,0.0012872,0.0012872,0.0012872
20,516.611,1.07939,1.26365,1.01438,0.92679,0.91304,0.98296,0.60404,1.41063,2.14052,1.06564,0.0012476,0.0012476,0.0012476
21,542.565,1.20684,1.36205,1.02068,0.90856,0.86424,0.96355,0.56125,1.47956,2.02068,1.07192,0.001208,0.001208,0.001208
22,568.276,1.23422,1.29146,1.04424,0.83473,0.95652,0.96165,0.58123,1.34767,1.70841,1.07411,0.0011684,0.0011684,0.0011684
23,592.322,1.12694,1.32231,0.99854,0.95622,0.94986,0.97603,0.59244,1.28769,1.71255,1.08813,0.0011288,0.0011288,0.0011288
24,619.065,1.20549,1.33297,0.99351,1,0.90711,0.98865,0.58654,1.42181,1.72029,1.13403,0.0010892,0.0010892,0.0010892
25,644.711,1.05655,1.20488,0.96147,0.95405,0.9031,0.9776,0.59363,1.47991,1.70477,1.12889,0.0010496,0.0010496,0.0010496
26,669.498,1.02359,1.17988,0.98015,1,0.90972,0.98201,0.66356,1.20981,1.59787,1.06517,0.00101,0.00101,0.00101
27,694.12,1.07259,1.16691,1.01353,1,0.90782,0.9695,0.65056,1.1925,1.56771,1.05515,0.0009704,0.0009704,0.0009704
28,718.842,1.12838,1.35632,1.01045,1,0.9838,0.995,0.64696,1.27596,1.37857,1.08483,0.0009308,0.0009308,0.0009308
29,742.903,1.01055,1.12378,0.96833,0.98689,1,0.995,0.63879,1.2581,1.32257,1.07731,0.0008912,0.0008912,0.0008912
30,768.68,0.98591,1.05594,0.95896,0.99223,1,0.995,0.6293,1.24779,1.2506,1.07853,0.0008516,0.0008516,0.0008516
31,794.183,1.05378,1.12007,0.98553,0.99301,1,0.995,0.64649,1.2334,1.23916,1.08029,0.000812,0.000812,0.000812
32,818.781,0.97228,1.06088,0.98242,0.98928,1,0.995,0.64123,1.23267,1.22369,1.07456,0.0007724,0.0007724,0.0007724
33,842.251,1.03741,1.04261,0.97157,0.97797,1,0.995,0.63393,1.20599,1.18966,1.05416,0.0007328,0.0007328,0.0007328
34,867.18,1.0698,1.00958,0.98989,0.95038,1,0.98417,0.59919,1.29943,1.1998,1.07209,0.0006932,0.0006932,0.0006932
35,890.947,1.09132,1.01719,1.00109,0.94463,1,0.98625,0.61708,1.29808,1.17624,1.08133,0.0006536,0.0006536,0.0006536
36,913.965,1.00371,0.94592,0.94455,0.95787,1,0.98958,0.64715,1.21443,1.12621,1.09943,0.000614,0.000614,0.000614
37,937.175,0.92012,0.9495,0.93409,0.95779,0.98703,0.98958,0.66255,1.19993,1.11315,1.09933,0.0005744,0.0005744,0.0005744
38,960.027,1.00185,0.94034,0.95119,0.95358,1,0.99333,0.65982,1.22458,1.08172,1.08954,0.0005348,0.0005348,0.0005348
39,983.635,0.99023,0.91553,0.97386,0.95159,1,0.99333,0.64994,1.25431,1.07194,1.08413,0.0004952,0.0004952,0.0004952
40,1006.95,0.99942,0.9352,0.9675,0.95267,1,0.99167,0.65626,1.26441,1.04394,1.08263,0.0004556,0.0004556,0.0004556
41,1029.71,0.89632,0.92202,0.91471,0.95396,1,0.99167,0.65683,1.26036,1.05731,1.07938,0.000416,0.000416,0.000416
42,1052.28,0.90894,0.9684,0.93964,0.9979,1,0.995,0.64138,1.25505,1.05975,1.0589,0.0003764,0.0003764,0.0003764
43,1075.21,0.8967,0.95627,0.96292,0.95659,1,0.99333,0.65615,1.24708,1.05536,1.04414,0.0003368,0.0003368,0.0003368
44,1098.1,0.89659,0.94774,0.93761,1,0.99704,0.995,0.66734,1.22273,1.02644,1.03505,0.0002972,0.0002972,0.0002972
45,1120.54,0.89527,0.96004,0.95501,1,0.99726,0.995,0.67801,1.2057,1.01667,1.03814,0.0002576,0.0002576,0.0002576
46,1143.29,0.84862,0.92334,0.93719,1,0.9973,0.995,0.67599,1.19475,1.00861,1.05865,0.000218,0.000218,0.000218
47,1167.37,0.87291,0.91519,0.95521,1,0.99732,0.995,0.67785,1.19596,1.01373,1.06427,0.0001784,0.0001784,0.0001784
48,1190.09,0.87632,0.93189,0.95146,1,0.99652,0.995,0.69297,1.20638,1.00603,1.07244,0.0001388,0.0001388,0.0001388
49,1212.97,0.90942,0.90661,0.92808,1,0.99574,0.995,0.69169,1.19847,0.99891,1.06888,9.92e-05,9.92e-05,9.92e-05
50,1237.72,0.83064,0.8773,0.8974,0.99803,1,0.995,0.68685,1.19377,0.98482,1.06024,5.96e-05,5.96e-05,5.96e-05
